Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,396.00,212.00,261.00,124.00,96.00,172.00,88.00,142.00,73.00,131.00,98.00,30.00
1952,213.00,408.00,320.00,124.00,109.00,124.00,214.00,196.00,87.00,131.00,152.00,419.00
1953,338.00,426.00,288.00,151.00,345.00,261.00,212.00,175.00,94.00,70.00,93.00,305.00
1954,180.00,190.00,294.00,91.00,229.00,138.00,130.00,133.00,76.00,34.00,112.00,234.00
1955,159.00,597.00,492.00,133.00,145.00,234.00,132.00,79.00,90.00,24.00,63.00,248.00
1956,336.00,410.00,243.00,96.00,163.00,125.00,55.00,81.00,63.00,31.00,53.00,235.00
1957,320.00,209.00,179.00,268.00,199.00,61.00,86.00,63.00,72.00,22.00,56.00,195.00
1958,326.00,216.00,715.00,449.00,123.00,71.00,163.00,120.00,41.00,47.00,31.00,95.00
1959,315.00,360.00,452.00,126.00,76.00,66.00,110.00,158.00,85.00,168.00,192.00,277.00
1960,868.00,590.00,266.00,49.00,58.00,138.00,89.00,64.00,259.00,44.00,119.00,82.00
1961,126.00,65.00,239.00,164.00,130.00,275.00,189.00,187.00,76.00,49.00,71.00,1362.00
1962,308.00,513.00,361.00,144.00,179.00,55.00,61.00,98.00,108.00,136.00,101.00,175.00
1963,220.00,321.00,109.00,167.00,90.00,83.00,143.00,25.00,39.00,76.00,284.00,42.00
1964,852.00,439.00,346.00,230.00,131.00,91.00,146.00,64.00,131.00,157.00,34.00,133.00
1965,363.00,193.00,318.00,331.00,126.00,75.00,227.00,190.00,228.00,105.00,251.00,55.00
1966,431.00,149.00,278.00,85.00,22.00,262.00,102.00,135.00,88.00,22.00,78.00,340.00
1967,541.00,139.00,328.00,219.00,122.00,125.00,172.00,188.00,86.00,144.00,237.00,210.00
1968,157.00,518.00,427.00,45.00,91.00,87.00,161.00,92.00,79.00,40.00,59.00,167.00
1969,96.00,204.00,212.00,269.00,113.00,99.00,151.00,156.00,53.00,13.00,52.00,398.00
1970,470.00,273.00,576.00,87.00,93.00,170.00,130.00,160.00,36.00,34.00,33.00,65.00
1971,229.00,575.00,88.00,250.00,203.00,61.00,161.00,126.00,35.00,44.00,147.00,113.00
1972,110.00,498.00,194.00,247.00,83.00,175.00,125.00,217.00,54.00,134.00,212.00,147.00
1973,237.00,202.00,428.00,97.00,77.00,165.00,121.00,196.00,60.00,27.00,12.00,93.00
1974,205.00,220.00,254.00,121.00,111.00,154.00,132.00,170.00,62.00,38.00,24.00,181.00
1975,168.00,712.00,184.00,117.00,257.00,129.00,31.00,93.00,152.00,19.00,69.00,99.00
1976,231.00,407.00,138.00,133.00,178.00,184.00,79.00,122.00,56.00,78.00,47.00,241.00
1977,435.00,299.00,166.00,261.00,124.00,61.00,125.00,82.00,72.00,47.00,40.00,280.00
1978,355.00,196.00,285.00,418.00,90.00,85.00,153.00,92.00,61.00,47.00,90.00,68.00
1979,291.00,435.00,256.00,210.00,66.00,114.00,79.00,150.00,48.00,30.00,39.00,602.00
1980,1068.00,482.00,603.00,370.00,103.00,64.00,103.00,63.00,76.00,78.00,38.00,58.00
1981,261.00,59.00,194.00,608.00,64.00,63.00,122.00,102.00,107.00,80.00,94.00,182.00
1982,225.00,829.00,125.00,167.00,262.00,158.00,163.00,221.00,109.00,210.00,119.00,149.00
1983,230.00,184.00,61.00,92.00,89.00,59.00,97.00,56.00,45.00,51.00,129.00,475.00
1984,285.00,148.00,77.00,171.00,89.00,95.00,95.00,132.00,81.00,34.00,85.00,210.00
1985,469.00,869.00,145.00,226.00,55.00,113.00,110.00,118.00,95.00,96.00,102.00,213.00
1986,146.00,348.00,337.00,87.00,88.00,53.00,39.00,188.00,34.00,121.00,48.00,117.00
1987,648.00,769.00,226.00,323.00,120.00,99.00,120.00,100.00,52.00,134.00,61.00,57.00
1988,119.00,300.00,476.00,249.00,97.00,53.00,84.00,57.00,68.00,50.00,75.00,319.00
1989,605.00,262.00,293.00,184.00,91.00,90.00,138.00,171.00,171.00,55.00,49.00,243.00
1990,102.00,383.00,323.00,204.00,102.00,56.00,53.00,101.00,49.00,19.00,44.00,171.00
1991,161.00,175.00,267.00,234.00,59.00,152.00,81.00,83.00,50.00,82.00,68.00,73.00
1992,127.00,611.00,282.00,241.00,54.00,135.00,97.00,95.00,86.00,50.00,18.00,47.00
1993,186.00,293.00,472.00,127.00,139.00,128.00,128.00,147.00,72.00,28.00,30.00,180.00
1994,176.00,568.00,175.00,178.00,118.00,63.00,111.00,138.00,71.00,24.00,64.00,76.00
1995,391.00,437.00,528.00,115.00,329.00,36.00,141.00,128.00,99.00,29.00,55.00,595.00
1996,275.00,332.00,209.00,271.00,61.00,63.00,88.00,48.00,16.00,70.00,35.00,547.00
1997,260.00,196.00,58.00,291.00,251.00,82.00,134.00,56.00,81.00,61.00,31.00,176.00
1998,152.00,596.00,145.00,112.00,118.00,57.00,180.00,89.00,95.00,70.00,35.00,21.00
1999,71.00,208.00,188.00,96.00,45.00,47.00,209.00,77.00,82.00,21.00,47.00,114.00
2000,529.00,414.00,221.00,97.00,87.00,88.00,122.00,163.00,41.00,61.00,144.00,78.00
2001,305.00,163.00,117.00,281.00,89.00,82.00,105.00,149.00,90.00,115.00,20.00,117.00
2002,796.00,169.00,250.00,114.00,114.00,111.00,98.00,140.00,33.00,58.00,53.00,240.00
2003,137.00,423.00,281.00,381.00,253.00,111.00,169.00,110.00,104.30,35.40,53.20,79.70
2004,660.70,294.80,360.80,252.10,188.40,146.40,69.80,35.90,66.20,29.20,80.70,231.30
2005,109.40,346.00,765.40,99.80,102.00,75.00,113.70,104.90,194.00,57.20,30.90,55.00
2006,432.30,236.60,435.70,50.40,46.30,70.20,171.90,57.00,63.70,57.10,95.90,32.00
2007,387.90,819.10,151.70,119.60,78.00,100.00,109.30,54.50,50.10,79.20,30.90,43.20
2008,202.50,278.00,517.20,88.90,232.00,155.20,151.10,52.20,264.00,45.00,100.30,150.40
2009,318.50,274.20,301.30,144.60,166.30,57.40,117.60,100.40,55.70,248.60,147.90,167.90
2010,195.10,265.40,136.80,83.60,87.20,65.10,184.70,162.00,75.50,33.50,79.30,11.50
2011,358.30,239.00,266.00,29.00,86.00,148.70,68.00,115.00,43.30,34.00,97.00,182.50
2012,70.00,258.00,284.00,200.00,209.60,83.30,63.00,69.00,56.00,41.00,52.30,105.00
